ID,Species,Len1,Len2,Len3,Height,Width,Sex,Weight
1,1,23.6,26,28.7,29.2,14.8,2,270
2,1,24.1,26.5,29.3,27.8,14.5,2,270
3,1,25.6,28,30.8,28.5,15.2,2,306
4,1,28.5,31,34,31.6,19.3,2,540
5,1,33.7,36.4,39.6,29.7,16.6,0,800
6,1,37.3,40,43.5,28.4,15,2,1000
7,2,23.2,25.4,30,38.4,13.4,2,242
8,2,24,26.3,31.2,40,13.8,2,290
9,2,23.9,26.5,31.1,39.8,15.1,2,340
10,2,26.3,29,33.5,38,13.3,2,363
11,2,26.5,29,34,36.6,15.1,2,430
12,2,26.8,29.7,34.7,39.2,14.2,2,450
13,2,26.8,29.7,34.5,41.1,15.3,2,500
14,2,27.6,30,35,36.2,13.4,2,390
15,2,27.6,30,35.1,39.9,13.8,2,450
16,2,28.5,30.7,36.2,39.3,13.7,2,500
17,2,28.4,31,36.2,39.4,14.1,2,475
18,2,28.7,31,36.2,39.7,13.3,2,500
19,2,29.1,31.5,36.4,37.8,12,2,500
20,2,29.4,32,37.2,40.2,13.9,1,600
21,2,29.4,32,37.2,41.5,15,2,600
22,2,30.4,33,38.3,38.8,13.8,1,700
23,2,30.4,33,38.5,38.8,13.5,2,700
24,2,30.9,33.5,38.6,40.5,13.3,2,610
25,2,31,33.5,38.7,37.4,14.8,2,650
26,2,31.3,34,39.5,38.3,14.1,1,575
27,2,31.4,34,39.2,40.8,13.7,2,685
28,2,31.5,34.5,39.7,39.1,13.3,2,620
29,2,31.8,35,40.6,38.1,15.1,2,680
30,2,31.9,35,40.5,40.1,13.8,2,700
31,2,31.8,35,40.9,40,14.8,1,725
32,2,32,35,40.6,40.3,15,2,720
33,2,32.7,36,41.5,39.8,14.1,2,714
34,2,32.8,36,41.6,40.6,14.9,2,850
35,2,33.5,37,42.6,44.5,15.5,0,1000
36,2,35,38.5,44.1,40.9,14.3,0,920
37,2,35,38.5,44,41.1,14.3,2,955
38,2,36.2,39.5,45.3,41.4,14.9,1,925
39,2,37.4,41,45.9,40.6,14.7,0,975
40,2,38,41,46.5,37.9,13.7,2,950
41,3,12.9,14.1,16.2,25.6,14,2,40
42,3,16.5,18.2,20.3,26.1,13.9,2,69
43,3,17.5,18.8,21.2,26.3,13.7,2,78
44,3,18.2,19.8,22.2,25.3,14.3,2,87
45,3,18.6,20,22.2,28,16.1,2,120
46,3,19,20.5,22.8,28.4,14.7,2,0
47,3,19.1,20.8,23.1,26.7,14.7,0,110
48,3,19.4,21,23.7,25.8,13.9,0,120
49,3,20.4,22,24.7,23.5,15.2,0,150
50,3,20.5,22,24.3,27.3,14.6,0,145
51,3,20.5,22.5,25.3,27.8,15.1,0,160
52,3,21,22.5,25,26.2,13.3,2,140
53,3,21.1,22.5,25,25.6,15.2,0,160
54,3,22,24,27.2,27.7,14.1,2,169
55,3,22,23.4,26.7,25.9,13.6,2,161
56,3,22.1,23.5,26.8,27.6,15.4,0,200
57,3,23.6,25.2,27.9,25.4,14,2,180
58,3,24,26,29.2,30.4,15.4,2,290
59,3,25,27,30.6,28,15.6,0,272
60,3,29.5,31.7,35,27.1,15.3,2,390
61,4,13.5,14.7,16.5,41.5,14.1,2,55
62,4,14.3,15.5,17.4,37.8,13.3,1,60
63,4,16.3,17.7,19.8,37.4,13.5,1,90
64,4,17.5,19,21.3,39.4,13.7,1,120
65,4,18.4,20,22.4,39.7,14.7,2,150
66,4,19,20.7,23.2,36.8,14.2,2,140
67,4,19,20.7,23.2,40.5,14.7,0,170
68,4,19.8,21.5,24.1,40.4,13.1,0,145
69,4,21.2,23,25.8,40.1,14.2,2,200
70,4,23,25,28,39.6,14.8,0,273
71,4,24,26,29,39.2,14.6,0,300
72,5,9.3,9.8,10.8,16.1,9.7,1,6.7
73,5,10,10.5,11.6,17,10,0,7.5
74,5,10.1,10.6,11.6,14.9,9.9,1,7
75,5,10.4,11,12,18.3,11.5,0,9.7
76,5,10.7,11.2,12.4,16.8,10.3,1,9.8
77,5,10.8,11.3,12.6,15.7,10.2,1,8.7
78,5,11.3,11.8,13.1,16.9,9.8,1,10
79,5,11.3,11.8,13.1,16.9,8.9,0,9.9
80,5,11.4,12,13.2,16.7,8.7,0,9.8
81,5,11.5,12.2,13.4,15.6,10.4,0,12.2
82,5,11.7,12.4,13.5,18,9.4,0,13.4
83,5,12.1,13,13.8,16.5,9.1,0,12.2
84,5,13.2,14.3,15.2,18.9,13.6,0,19.7
85,5,13.8,15,16.2,18.1,11.6,0,19.9
86,6,30,32.3,34.8,16,9.7,2,200
87,6,31.7,34,37.8,15.1,11,0,300
88,6,32.7,35,38.8,15.3,11.3,2,300
89,6,34.8,37.3,39.8,15.8,10.1,2,300
90,6,35.5,38,40.5,18,11.3,2,430
91,6,36,38.5,41,15.6,9.7,1,345
92,6,40,42.5,45.5,16,9.5,2,456
93,6,40,42.5,45.5,15,9.8,2,510
94,6,40.1,43,45.8,17,11.2,2,540
95,6,42,45,48,14.5,10.2,2,500
96,6,43.2,46,48.7,16,10,0,567
97,6,44.8,48,51.2,15,10.5,0,770
98,6,48.3,51.7,55.1,16.2,11.2,2,950
99,6,52,56,59.7,17.9,11.7,2,1250
100,6,56,60,64,15,9.6,2,1600
101,6,56,60,64,15,9.6,0,1550
102,6,59,63.4,68,15.9,11,0,1650
103,7,7.5,8.4,8.8,24,16,2,5.9
104,7,12.5,13.7,14.7,24,13.6,2,32
105,7,13.8,15,16,23.9,15.2,2,40
106,7,15,16.2,17.2,26.7,15.3,2,51.5
107,7,15.7,17.4,18.5,24.8,15.9,2,70
108,7,16.2,18,19.2,27.2,17.3,2,100
109,7,16.8,18.7,19.4,26.8,16.1,2,78
110,7,17.2,19,20.2,27.9,15.1,2,80
111,7,17.8,19.6,20.8,24.7,14.6,2,85
112,7,18.2,20,21,24.2,13.2,2,85
113,7,19,21,22.5,25.3,15.8,2,110
114,7,19,21,22.5,26.3,14.7,2,115
115,7,19,21,22.5,25.3,16.3,1,125
116,7,19.3,21.3,22.8,28,15.5,0,130
117,7,20,22,23.5,26,14.5,0,120
118,7,20,22,23.5,24,15,2,120
119,7,20,22,23.5,26,15,2,130
120,7,20,22,23.5,25,15,2,135
121,7,20,22,23.5,23.5,17,0,110
122,7,20.5,22.5,24,24.4,15.1,0,130
123,7,20.5,22.5,24,28.3,15.1,0,150
124,7,20.7,22.7,24.2,24.6,15,2,145
125,7,21,23,24.5,21.3,14.8,2,150
126,7,21.5,23.5,25,25.1,14.9,2,170
127,7,22,24,25.5,28.6,14.6,2,225
128,7,22,24,25.5,25,15,2,145
129,7,22.6,24.6,26.2,25.7,15.9,2,188
130,7,23,25,26.5,24.3,13.9,0,180
131,7,23.5,25.6,27,24.3,15.7,2,197
132,7,25,26.5,28,25.6,14.8,2,218
133,7,25.2,27.3,28.7,29,17.9,0,300
134,7,25.4,27.5,28.9,24.8,15,0,260
135,7,25.4,27.5,28.9,24.4,15,2,265
136,7,25.4,27.5,28.9,25.2,15.8,0,250
137,7,25.9,28,29.4,26.6,14.3,2,250
138,7,26.9,28.7,30.1,25.2,15.4,0,300
139,7,27.8,30,31.6,24.1,15.1,0,320
140,7,30.5,32.8,34,29.5,17.7,2,514
141,7,32,34.5,36.5,28.1,17.5,2,556
142,7,32.5,35,37.3,30.8,20.9,0,840
143,7,34,36.5,39,27.9,17.6,0,685
144,7,34,36,38.3,27.7,17.6,0,700
145,7,34.5,37,39.4,27.5,15.9,0,700
146,7,34.6,37,39.3,26.9,16.2,0,690
147,7,36.5,39,41.4,26.9,18.1,0,900
148,7,36.5,39,41.4,26.9,14.5,2,650
149,7,36.6,39,41.3,30.1,17.8,2,820
150,7,36.9,40,42.3,28.2,16.8,0,850
151,7,37,40,42.5,27.6,17,0,900
152,7,37,40,42.4,29.2,17.6,0,1015
153,7,37.1,40,42.5,26.2,15.6,0,820
154,7,39,42,44.6,28.7,15.4,0,1100
155,7,39.8,43,45.2,26.4,16.1,0,1000
156,7,40.1,43,45.5,27.5,16.3,0,1100
157,7,40.2,43.5,46,27.4,17.7,1,1000
158,7,41.1,44,46.6,26.8,16.3,0,1000
159,7,41.1,44,46.6,26.8,16.3,0,1000
